,Unnamed: 0,Name,id,likes,date,posts,retweets
159,59,Lakers,20346956,0,2019-03-03 03:01:03,"RT @LakersReporter: With a layup driving to his right, LeBron passed Kobe Bryant for 5th on the all-time field goals made list in NBA histo…",193
160,60,Lakers,20346956,762,2019-03-03 02:55:01,Play through the contact https://t.co/c7nAxdOg8G,99
161,61,Lakers,20346956,1721,2019-03-03 02:47:14,"JaVale stays with the play.

#LakeShow (📺: @SpectrumSN) https://t.co/pGlFZl6TDp",217
162,62,Lakers,20346956,516,2019-03-03 02:38:50,12 minutes into it. https://t.co/bEMKtDjlQf,61
163,63,Lakers,20346956,4601,2019-03-03 02:24:30,"Go get it, @KingJames

#LakeShow (📺: @SpectrumSN) https://t.co/QpDI99VtdP",890
164,64,Lakers,20346956,0,2019-03-03 02:23:12,"RT @LakersReporter: With that alley-oop to LeBron, Rajon Rondo passed Deron Williams for 20th on the NBA’s all-time assist list (6,820). Le…",141
165,65,Lakers,20346956,2291,2019-03-03 02:21:32,Lob 👑 https://t.co/HnQfVYTLD8,455
166,66,Lakers,20346956,2119,2019-03-03 02:19:52,Just lob it up. The King will do the rest. 👑💥,179
167,67,Lakers,20346956,308,2019-03-03 02:12:00,Bullock splashes the triple on the game's first possession. #BullsEye 🎯,49
168,68,Lakers,20346956,215,2019-03-03 02:10:54,Ball is up. #LakeShow https://t.co/vNCbNyircw,51
169,69,Lakers,20346956,511,2019-03-03 02:09:48,#SuitingUpTogether from Phoenix https://t.co/1CpDPlZWtl,96
170,70,Lakers,20346956,603,2019-03-03 02:09:23,START IT UP! https://t.co/8Z2dlpzh51,109
171,71,Lakers,20346956,306,2019-03-03 02:00:00,"Time to get started in the desert! 

📺: @SpectrumSN
📻: 710 ESPN &amp; 1330 KWKW

https://t.co/lPAJrUWo4F",50
172,72,Lakers,20346956,1771,2019-03-03 01:59:50,Flow 🌊 https://t.co/AwVyEYeKH9,244
